Index,Data,Frequency,Real,Imaginary,Abs
191,-1732,6112,2.1347,-102.991,103.013
192,-1740,6144,37.4766,-28.5388,47.1059
193,-1747,6176,63.0122,-95.0483,114.038
194,-1753,6208,38.8265,-56.7526,68.763
195,-1758,6240,25.7181,-83.9502,87.8012
196,-1764,6272,23.9536,-78.1234,81.7132
197,-1768,6304,35.7529,-75.0879,83.1653
198,-1770,6336,37.2802,-54.0969,65.6985
199,-1772,6368,40.8866,-74.2111,84.729
200,-1775,6400,10.068,-53.2347,54.1784
201,-1777,6432,68.4081,-78.2976,103.972
202,-1777,6464,33.0689,-70.2062,77.6045
203,-1775,6496,65.7019,-99.9845,119.64
204,-1770,6528,38.3923,-55.7164,67.663
205,-1763,6560,83.4481,-104.472,133.709
206,-1757,6592,33.8599,-62.8342,71.3767
207,-1751,6624,11.2816,-45.5016,46.8793
208,-1746,6656,61.0419,-68.871,92.029
209,-1742,6688,15.6808,-60.3701,62.3734
210,-1735,6720,47.8969,-50.2391,69.4124
211,-1727,6752,19.8041,-92.636,94.7292
212,-1718,6784,44.0723,-70.2167,82.9021
213,-1706,6816,35.2284,-71.4003,79.6181
214,-1697,6848,38.753,-56.7148,68.6904
215,-1688,6880,30.6462,-46.9662,56.0804
216,-1681,6912,39.1299,-83.7936,92.4798
217,-1673,6944,49.4743,-54.6296,73.7028
218,-1666,6976,31.2459,-63.7534,70.9986
219,-1659,7008,-3.88266,-0.249878,3.89069
220,-1651,7040,23.7384,-46.2347,51.9727
221,-1643,7072,66.8937,-48.9176,82.8716
222,-1638,7104,15.8732,-81.6633,83.1917
223,-1635,7136,59.6438,-76.1478,96.7258
224,-1633,7168,44.8405,-43.0385,62.1529
225,-1631,7200,30.591,-63.8666,70.8149
226,-1625,7232,28.8326,-58.8116,65.4991
227,-1619,7264,36.432,-56.4128,67.1543
228,-1612,7296,39.0675,-63.9558,74.9441
229,-1606,7328,75.4791,-51.1152,91.1585
230,-1599,7360,66.4931,-31.139,73.4233
231,-1594,7392,37.6402,-48.4241,61.3325
232,-1590,7424,-4.83926,-61.349,61.5396
233,-1586,7456,39.9151,-53.5287,66.7723
234,-1584,7488,46.0017,-54.4187,71.2569
235,-1580,7520,18.8019,-54.358,57.5179
236,-1577,7552,48.0824,-37.5844,61.0287
237,-1575,7584,15.601,-56.4048,58.5226
238,-1573,7616,39.7004,-55.1217,67.9303
239,-1574,7648,22.4822,-38.837,44.875
240,-1578,7680,23.9852,-46.1763,52.034
241,-1584,7712,38.5123,-70.7461,80.5494
242,-1592,7744,47.1335,-57.0876,74.0308
243,-1599,7776,9.75366,-79.4584,80.0548
244,-1605,7808,68.3537,-39.6641,79.0283
245,-1610,7840,49.7795,-28.9652,57.5933
246,-1616,7872,21.5433,-13.01,25.1669
247,-1621,7904,67.6439,-56.7101,88.2708
248,-1627,7936,50.5424,-52.3403,72.7602
249,-1634,7968,35.4744,-49.6046,60.984
250,-1643,8000,53.1315,-33.2988,62.7038
251,-1651,8032,46.6095,-48.4735,67.2468
252,-1658,8064,46.9727,-57.0103,73.8688
253,-1665,8096,46.6486,-70.1926,84.2799
254,-1675,8128,57.2484,-51.6183,77.0833
255,-1685,8160,31.8345,-53.5535,62.3009
256,-1695,8192,42.6794,-43.344,60.8296
257,-1704,8224,39.306,-62.363,73.7164
258,-1709,8256,48.9889,-53.1178,72.2593
259,-1712,8288,36.969,-72.8649,81.7068
260,-1714,8320,27.9096,-32.6233,42.9328
261,-1717,8352,58.3746,-26.3538,64.0478
262,-1719,8384,48.4431,-38.621,61.9542
263,-1723,8416,41.7589,-45.5005,61.7584
264,-1729,8448,37.3712,-44.1753,57.8625
265,-1736,8480,28.3136,-29.9729,41.2315
266,-1744,8512,44.4219,-42.5966,61.5449
267,-1751,8544,41.0316,-28.9414,50.2116
268,-1757,8576,30.2618,-42.7441,52.3721
269,-1762,8608,49.5209,-51.0929,71.1534
270,-1765,8640,42.7126,-38.954,57.8081
271,-1767,8672,45.1133,-42.574,62.0303
272,-1769,8704,28.3157,-47.5784,55.3668
273,-1772,8736,66.448,-49.9711,83.1411
274,-1774,8768,40.2906,-43.7167,59.4515
275,-1776,8800,30.0132,-36.2308,47.0475
276,-1776,8832,35.6567,-56.4792,66.793
277,-1772,8864,68.8423,-42.4281,80.8666
278,-1765,8896,53.4273,-34.522,63.6101
279,-1758,8928,36.2556,-47.2517,59.5583
280,-1753,8960,25.1866,-65.2802,69.9704
281,-1748,8992,67.1335,-31.0493,73.9659
282,-1744,9024,29.478,-52.1132,59.8727
283,-1739,9056,32.1749,-32.6666,45.8512
284,-1730,9088,38.8988,-45.8688,60.142
285,-1720,9120,28.6902,-38.9567,48.3813
286,-1709,9152,44.0755,-74.6659,86.7044
287,-1698,9184,26.8712,-41.3022,49.2741
288,-1691,9216,40.7673,-43.7673,59.8126
289,-1685,9248,44.0035,-52.9946,68.8821
290,-1678,9280,37.5244,-18.2389,41.7222
291,-1671,9312,45.1691,-51.7118,68.6612
292,-1663,9344,31.9538,-40.3036,51.4337
293,-1655,9376,58.2441,-52.3207,78.2932
294,-1647,9408,54.8624,-41.8651,69.0114
295,-1642,9440,50.1667,-36.5417,62.0645
296,-1640,9472,46.4727,-41.9126,62.581
297,-1638,9504,43.6111,-35.1448,56.0096
298,-1635,9536,50.2396,-52.0677,72.3537
299,-1630,9568,59.7274,-62.303,86.3077
300,-1624,9600,46.6821,-43.6028,63.8782
301,-1618,9632,59.8715,-67.5101,90.2342
302,-1611,9664,35.0816,-25.1995,43.1941
303,-1604,9696,39.3995,-45.2966,60.0342
304,-1599,9728,39.3505,-31.8944,50.6529
305,-1594,9760,28.3342,-27.2141,39.2866
306,-1589,9792,49.8111,-28.4696,57.373
307,-1584,9824,37.7699,-39.0087,54.2977
308,-1581,9856,50.9776,-23.6194,56.1835
309,-1578,9888,60.6761,-26.3453,66.1489
310,-1576,9920,53.7242,-17.0315,56.3593
311,-1575,9952,16.3105,-25.2426,30.0536
312,-1574,9984,56.1072,-38.4825,68.0362
313,-1577,10016,67.812,-26.8876,72.9479
314,-1584,10048,40.1163,-35.7891,53.7603
315,-1591,10080,26.1353,-29.6545,39.5278
316,-1598,10112,31.4076,-24.5085,39.8385
317,-1605,10144,49.6092,-22.0311,54.2811
318,-1610,10176,27.4021,-31.9338,42.079
319,-1615,10208,32.9539,-37.7092,50.0794
320,-1621,10240,30.4014,-30.3999,42.993
321,-1625,10272,47.8337,-28.3108,55.5838
322,-1633,10304,32.6476,-20.0925,38.335
323,-1641,10336,42.05,-36.2625,55.5263
324,-1649,10368,65.3344,-33.1967,73.2844
325,-1658,10400,39.8449,-40.5112,56.8223
326,-1665,10432,48.3936,-13.9955,50.3767
327,-1673,10464,71.0825,-17.4387,73.1903
328,-1684,10496,52.6792,-52.2515,74.1978
329,-1695,10528,50.0917,-36.1639,61.782
330,-1703,10560,67.8422,-37.5408,77.5363
331,-1711,10592,40.3511,-38.567,55.8178
332,-1715,10624,36.4915,-14.6788,39.3332
333,-1717,10656,35.2651,-28.0369,45.0521
334,-1720,10688,49.4066,-19.6116,53.1566
335,-1722,10720,51.8687,-18.5952,55.1012
336,-1725,10752,67.3024,-24.9066,71.7632
337,-1729,10784,63.7859,-39.2433,74.8911
338,-1736,10816,45.3057,-38.4928,59.45
339,-1742,10848,68.3068,-22.3551,71.8719
340,-1750,10880,54.6318,-41.4983,68.6057
341,-1757,10912,34.3694,-40.6293,53.2165
342,-1762,10944,73.4053,-25.1554,77.596
343,-1766,10976,25.886,-39.3254,47.0805
344,-1769,11008,49.0972,-44.2543,66.0983
345,-1771,11040,43.1096,-25.7294,50.2039
346,-1773,11072,30.6765,-34.9175,46.4788
347,-1774,11104,41.2506,-35.0687,54.1427
348,-1774,11136,55.9706,-17.2463,58.5675
349,-1773,11168,48.7199,-37.3889,61.413
350,-1768,11200,40.2661,-19.6238,44.7934
351,-1760,11232,45.15,-18.2058,48.6824
352,-1752,11264,57.7391,-24.1735,62.5952
353,-1747,11296,36.7584,-45.8766,58.7864
354,-1744,11328,37.3129,-12.3491,39.3033
355,-1740,11360,37.0331,-19.2587,41.7414
356,-1734,11392,57.1498,-37.2917,68.2405
357,-1726,11424,64.3065,-1.77026,64.3309
358,-1715,11456,40.7231,-20.4122,45.5525
359,-1704,11488,45.4001,-43.3632,62.7817
360,-1694,11520,58.7015,-7.62817,59.1951
361,-1686,11552,42.2146,-24.527,48.8226
362,-1680,11584,49.4365,-26.598,56.1376
363,-1672,11616,49.9384,-35.4469,61.2399
364,-1665,11648,41.899,-12.6198,43.7583
365,-1657,11680,47.2904,-13.0764,49.065
366,-1649,11712,31.243,-14.2573,34.3424
367,-1643,11744,40.7719,-14.6514,43.3244
368,-1638,11776,36.6541,-31.3406,48.226
369,-1636,11808,47.8324,-6.43726,48.2636
370,-1634,11840,45.2531,-36.0396,57.8506
371,-1631,11872,43.6372,-15.8867,46.4391
372,-1626,11904,34.7291,-44.7336,56.6322
373,-1620,11936,42.1326,-26.0997,49.5616
374,-1614,11968,61.796,-39.5994,73.3952
375,-1607,12000,45.5244,-18.2218,49.0358
376,-1601,12032,46.5941,-20.1063,50.7472
377,-1596,12064,48.7126,-28.5333,56.4542
378,-1592,12096,31.9719,-21.4135,38.4804
379,-1587,12128,34.4575,-12.4613,36.6416
380,-1583,12160,51.818,-11.3347,53.0432
381,-1580,12192,48.2373,-38.4995,61.7175
382,-1578,12224,59.2006,-14.05,60.845
383,-1576,12256,53.8944,-16.673,56.4145
384,-1575,12288,46.3739,-24.3157,52.3621
385,-1575,12320,49.8469,-24.5715,55.5741
386,-1579,12352,59.9447,-22.3029,63.9592
387,-1586,12384,46.0544,-22.4019,51.2138
388,-1593,12416,30.704,-16.3719,34.7962
389,-1599,12448,41.1656,-28.2987,49.9543
390,-1606,12480,50.4072,-17.4697,53.3487
391,-1610,12512,61.1082,-23.4655,65.4586
392,-1614,12544,46.6838,-19.3961,50.5528
393,-1619,12576,47.5337,-18.2534,50.918
394,-1624,12608,59.4385,-19.8097,62.6527
395,-1631,12640,45.8226,-31.5066,55.6092
396,-1640,12672,49.9623,-25.7338,56.2001
397,-1649,12704,43.2815,-10.8251,44.6147
398,-1656,12736,30.5834,-17.7559,35.364
399,-1664,12768,44.5554,-13.2195,46.4752
400,-1673,12800,43.7665,-18.5436,47.5328
401,-1683,12832,28.9081,-9.91608,30.5615
402,-1693,12864,46.7197,-14.5281,48.9265
403,-1701,12896,53.998,-5.10468,54.2388
404,-1708,12928,62.4518,-11.2298,63.4534
405,-1712,12960,42.9207,-29.3439,51.9928
406,-1713,12992,37.4563,-22.098,43.489
407,-1716,13024,46.5608,-15.9061,49.2027
408,-1717,13056,47.7147,-14.6372,49.9093
409,-1719,13088,40.826,-21.4497,46.1179
410,-1724,13120,41.9625,-13.328,44.0283
411,-1732,13152,45.6953,-11.9626,47.2352
412,-1739,13184,48.1191,-12.7756,49.7862
413,-1745,13216,38.6696,-17.9778,42.6443
414,-1752,13248,47.7471,-14.9214,50.0243
415,-1757,13280,47.7717,-14.9318,50.0509
416,-1761,13312,46.1868,-11.0294,47.4854
417,-1763,13344,43.2201,-11.2783,44.6674
418,-1765,13376,43.5393,-11.859,45.1255
419,-1766,13408,62.7792,-12.5953,64.0302
420,-1768,13440,47.9393,-14.1739,49.9908
421,-1770,13472,53.8661,-16.9333,56.465
422,-1769,13504,53.4491,-21.616,57.6546
423,-1765,13536,48.5525,-1.37177,48.5719
424,-1758,13568,63.3293,-8.99182,63.9645
425,-1750,13600,53.2815,-6.21753,53.643
426,-1744,13632,48.0654,1.43958,48.087
427,-1739,13664,59.4501,-21.1586,63.1031
428,-1735,13696,40.9086,-16.6885,44.1816
429,-1730,13728,53.0797,-11.275,54.264
430,-1722,13760,47.0455,-21.5876,51.762
431,-1712,13792,46.1162,-14.0107,48.1976
432,-1701,13824,49.4456,2.28375,49.4983
433,-1689,13856,41.2384,2.29199,41.302
434,-1682,13888,40.2413,-17.5135,43.8872
435,-1676,13920,35.6309,-14.0509,38.3013
436,-1668,13952,46.6312,-9.27411,47.5445
437,-1660,13984,50.792,-3.38501,50.9047
438,-1652,14016,50.5266,-0.459595,50.5287
439,-1644,14048,43.6534,-12.0737,45.2924
440,-1637,14080,49.4631,-24.6143,55.2491
441,-1631,14112,43.4767,-0.0780029,43.4768
442,-1628,14144,52.5588,-13.2556,54.2046
443,-1627,14176,42.5259,-14.707,44.9972
444,-1624,14208,31.2906,-20.5603,37.441
445,-1620,14240,43.8877,3.16101,44.0014
446,-1614,14272,65.302,-18.4615,67.8615
447,-1606,14304,42.4523,-9.76373,43.5606
448,-1599,14336,52.922,4.72937,53.1329
449,-1593,14368,31.5031,-7.35217,32.3496
450,-1588,14400,45.4978,-0.661377,45.5026
451,-1583,14432,52.1288,-0.124573,52.1289
452,-1579,14464,47.3282,-5.09857,47.6021
453,-1575,14496,39.0551,-12.822,41.106
454,-1572,14528,52.0087,-3.19318,52.1066
455,-1568,14560,49.6309,-5.36157,49.9196
456,-1566,14592,42.1118,-1.26147,42.1307
457,-1563,14624,44.868,-6.10287,45.2812
458,-1563,14656,40.2316,-11.0186,41.7132
459,-1568,14688,45.42,-2.64151,45.4968
460,-1575,14720,54.4865,4.5498,54.6761
461,-1583,14752,41.152,-1.30392,41.1726
462,-1590,14784,37.2023,-2.16611,37.2653
463,-1596,14816,41.2966,-2.88998,41.3976
464,-1602,14848,40.5991,-6.28775,41.0831
465,-1606,14880,54.4988,-4.82236,54.7117
466,-1611,14912,48.1602,-12.6425,49.7919
467,-1618,14944,37.8232,-4.52896,38.0934
468,-1625,14976,41.5876,2.57135,41.6671
469,-1634,15008,55.5029,10.3094,56.4523
470,-1643,15040,52.7946,-1.62167,52.8195
471,-1650,15072,52.5085,-11.2296,53.6959
472,-1658,15104,44.1992,-1.18076,44.215
473,-1666,15136,56.0835,-8.83984,56.7759
474,-1676,15168,37.3154,-2.73029,37.4152
475,-1687,15200,47.1978,-12.4135,48.8029
476,-1696,15232,43.9797,-10.2195,45.1515
477,-1704,15264,47.6458,5.43518,47.9548
478,-1708,15296,44.5074,-13.6441,46.5519
479,-1710,15328,43.4897,-4.65309,43.738
480,-1712,15360,48.9626,-3.77893,49.1083
481,-1717,15392,56.0607,10.8318,57.0975
482,-1720,15424,40.187,7.7334,40.9243
483,-1726,15456,41.5322,-5.71596,41.9237
484,-1733,15488,44.8813,-11.972,46.4507
485,-1741,15520,52.6788,7.29242,53.1812
486,-1747,15552,57.3002,-2.09358,57.3384
487,-1752,15584,49.5082,5.19087,49.7796
488,-1757,15616,57.3488,-14.5307,59.161
489,-1762,15648,63.0637,-1.47091,63.0809
490,-1765,15680,61.6243,-5.43655,61.8636
491,-1767,15712,55.2205,5.25037,55.4695
492,-1769,15744,52.4613,4.26333,52.6343
493,-1771,15776,47.2081,-12.2535,48.7725
494,-1772,15808,47.5654,-8.86597,48.3847
495,-1772,15840,41.048,-8.58067,41.9352
496,-1769,15872,54.9442,3.11976,55.0327
497,-1763,15904,41.4774,4.48478,41.7192
498,-1755,15936,49.7247,5.25346,50.0015
499,-1748,15968,43.9558,-7.5032,44.5916
500,-1743,16000,38,-0.359304,38.0017
501,-1739,16032,42.1823,6.53571,42.6856
502,-1733,16064,47.8741,-3.27411,47.986
503,-1725,16096,41.5876,-6.32555,42.066
504,-1716,16128,55.6738,-3.75269,55.8002
505,-1705,16160,40.7163,9.83571,41.8875
506,-1695,16192,48.0232,10.5532,49.1691
507,-1686,16224,45.0303,11.3684,46.4431
508,-1678,16256,55.4729,-3.27139,55.5693
509,-1671,16288,55.5298,-5.68432,55.82
510,-1665,16320,61.6466,5.28324,61.8726
511,-1657,16352,63.0741,1.27592,63.087
512,-1648,16384,56.9956,14.4708,58.8039
513,-1641,16416,49.9779,-7.09401,50.4789
514,-1635,16448,57.4542,2.10095,57.4926
515,-1631,16480,53.0082,-7.23669,53.4999
516,-1629,16512,42.8944,12.0404,44.5522
517,-1627,16544,39.66,4.86763,39.9576
518,-1623,16576,39.6676,-8.5437,40.5773
519,-1617,16608,56.704,-11.366,57.8319
520,-1611,16640,47.4146,3.68283,47.5574
521,-1606,16672,44.6372,5.18781,44.9377
522,-1599,16704,45.8845,12.506,47.5583
523,-1592,16736,48.1055,-5.31912,48.3986
524,-1587,16768,44.9197,10.4199,46.1124
525,-1583,16800,47.1428,12.4954,48.7707
526,-1580,16832,38.2853,3.01505,38.4038
527,-1577,16864,56.3801,9.41348,57.1606
528,-1574,16896,42.7581,1.89481,42.8
529,-1572,16928,53.6555,10.0267,54.5843
530,-1571,16960,52.4398,1.04047,52.4501
531,-1572,16992,56.1573,-10.4191,57.1157
532,-1574,17024,42.7279,-3.8158,42.8979
533,-1579,17056,36.2064,4.95731,36.5442
534,-1588,17088,48.1473,11.1523,49.4221
535,-1597,17120,55.1017,7.20752,55.5711
536,-1604,17152,40.3291,4.58356,40.5887
537,-1609,17184,39.6039,3.74353,39.7804
538,-1612,17216,36.8792,2.20758,36.9452
539,-1616,17248,41.2999,-0.186584,41.3003
540,-1623,17280,54.8018,-4.33978,54.9733
541,-1630,17312,46.564,0.692841,46.5691
542,-1638,17344,41.2577,9.5881,42.3572
543,-1647,17376,44.4294,6.58673,44.915
544,-1656,17408,42.0596,0.709991,42.0656
545,-1664,17440,50.4722,6.07568,50.8365
546,-1671,17472,50.8912,3.20959,50.9923
547,-1681,17504,38.3569,12.2094,40.2532
548,-1691,17536,48.7278,4.93103,48.9766
549,-1701,17568,52.9335,-0.615356,52.937
550,-1708,17600,46.0226,0.170837,46.0229
551,-1712,17632,33.8958,7.13416,34.6384
552,-1714,17664,52.2369,-3.81085,52.3758
553,-1717,17696,40.7133,8.52441,41.5961
554,-1720,17728,54.4285,11.2134,55.5716
555,-1723,17760,41.7065,-1.84375,41.7473
556,-1728,17792,30.7264,20.033,36.6802
557,-1734,17824,40.2434,19.8737,44.8831
558,-1741,17856,48.0223,25.9327,54.577
559,-1749,17888,44.3755,0.0921631,44.3756
560,-1755,17920,48.9412,24.5786,54.7663
561,-1759,17952,43.6042,14.3672,45.9102
562,-1762,17984,49.9438,1.45282,49.965
563,-1765,18016,50.4756,3.14935,50.5737
564,-1767,18048,46.2883,7.45605,46.885
565,-1769,18080,36.9276,14.6716,39.7354
566,-1772,18112,38.6617,18.8547,43.0143
567,-1774,18144,40.7229,-1.16058,40.7394
568,-1773,18176,48.4701,-3.09387,48.5687
569,-1770,18208,45.3771,15.2677,47.8767
570,-1763,18240,46.6356,20.4346,50.9162
571,-1754,18272,53.4387,3.47797,53.5518
572,-1748,18304,41.4915,17.0156,44.845
573,-1743,18336,59.8962,21.0859,63.4994
574,-1739,18368,43.7314,-1.50977,43.7575
575,-1734,18400,51.6272,7.16022,52.1214
