,,,,1,-117456896
2927,-105742336,F9B28000,,403,-118751232
2929,-107413504,F9990000,,404,-117489664
2931,-109002752,F980C000,,405,-116359168
2933,-110526464,F9698000,,406,-115195904
2935,-112181248,F9504000,,407,-114114560
2937,-113901568,F9360000,,408,-112984064
2939,-115736576,F91A0000,,409,-111771648
2941,-117555200,F8FE4000,,410,-110510080
2943,-119177216,F8E58000,,411,-109084672
2945,-120700928,F8CE4000,,412,-107692032
2947,-122044416,F8B9C000,,413,-106381312
2949,-123191296,F8A84000,,414,-104841216
2951,-124256256,F8980000,,415,-103301120
2953,-125124608,F88AC000,,416,-101826560
2955,-125878272,F87F4000,,417,-100532224
2957,-126599168,F8744000,,418,-99434496
2959,-127287296,F869C000,,419,-98451456
2961,-127877120,F860C000,,420,-97468416
2963,-128237568,F85B4000,,421,-96501760
2965,-128630784,F8554000,,422,-95698944
2967,-128892928,F8514000,,423,-94994432
2969,-129007616,F84F8000,,424,-94306304
2971,-129007616,F84F8000,,425,-93634560
2973,-128729088,F853C000,,426,-92979200
2975,-128303104,F85A4000,,427,-92372992
2977,-127664128,F8640000,,428,-91930624
2979,-126713856,F8728000,,429,-91602944
2981,-125714432,F881C000,,430,-91422720
2983,-124567552,F8934000,,431,-91406336
2985,-123240448,F8A78000,,432,-91521024
2987,-121815040,F8BD4000,,433,-91848704
2989,-114016256,F9344000,,434,-92356608
2991,-112754688,F9478000,,435,-93028352
2993,-111378432,F95C8000,,436,-93945856
2995,-109969408,F9720000,,437,-95010816
2997,-108494848,F9888000,,438,-96206848
2999,-106921984,F9A08000,,439,-97566720
3001,-105414656,F9B78000,,440,-98893824
3003,-103792640,F9D04000,,441,-107577344
3005,-102187008,F9E8C000,,442,-108969984
3007,-100827136,F9FD8000,,443,-110575616
3009,-99549184,FA110000,,444,-112214016
3011,-98484224,FA214000,,445,-113819648
3013,-97435648,FA314000,,446,-115621888
3015,-96387072,FA414000,,447,-117211136
3017,-95502336,FA4EC000,,448,-118652928
3019,-94666752,FA5B8000,,449,-120143872
3021,-93978624,FA660000,,450,-121438208
3023,-93306880,FA704000,,451,-122519552
3025,-92504064,FA7C8000,,452,-123518976
3027,-91865088,FA864000,,453,-124289024
3029,-91373568,FA8DC000,,454,-124977152
3031,-90980352,FA93C000,,455,-125648896
3033,-90882048,FA954000,,456,-126205952
3035,-90882048,FA954000,,457,-126631936
3037,-90882048,FA954000,,458,-127041536
3039,-91144192,FA914000,,459,-127352832
3041,-91635712,FA89C000,,460,-127533056
3043,-92340224,FA7F0000,,461,-127598592
3045,-93257728,FA710000,,462,-127483904
3047,-94289920,FA614000,,463,-127172608
3049,-95567872,FA4DC000,,464,-126730240
3051,-96878592,FA39C000,,465,-126058496
3053,-98271232,FA248000,,466,-125190144
3055,-99696640,FA0EC000,,467,-124190720
3057,-100974592,F9FB4000,,468,-122994688
3059,-102367232,F9E60000,,469,-121733120
3061,-103759872,F9D0C000,,470,-120340480
3063,-105283584,F9B98000,,471,-118947840
3065,-107003904,F99F4000,,472,-117686272
3067,-108593152,F9870000,,473,-116424704
3069,-110182400,F96EC000,,474,-115294208
3071,-111837184,F9558000,,475,-114212864
3073,-113573888,F93B0000,,476,-113033216
3075,-115408896,F91F0000,,477,-111886336
3077,-117161984,F9044000,,478,-110641152
3079,-118767616,F8EBC000,,479,-109314048
3081,-120324096,F8D40000,,480,-107937792
3083,-121700352,F8BF0000,,481,-106479616
3085,-122896384,F8ACC000,,482,-105005056
3087,-123977728,F89C4000,,483,-103481344
3089,-124829696,F88F4000,,484,-101974016
3091,-125583360,F883C000,,485,-100696064
3093,-126353408,F8780000,,486,-99532800
3095,-127041536,F86D8000,,487,-98467840
3097,-127582208,F8654000,,488,-97599488
3099,-127991808,F85F0000,,489,-96714752
3101,-128057344,F85E0000,,490,-95895552
3103,-127369216,F8688000,,491,-95158272
3105,-126517248,F8758000,,492,-94420992
3107,-125435904,F8860000,,493,-93683712
3109,-124256256,F8980000,,494,-92995584
3111,-123043840,F8AA8000,,495,-92471296
3113,-121634816,F8C00000,,496,-92012544
3115,-120242176,F8D54000,,497,-91570176
3117,-118800384,F8EB4000,,498,-91324416
3119,-117522432,F8FEC000,,499,-93945856
3121,-116490240,F90E8000,,500,-95076352
3123,-115343360,F9200000,,501,-96370688
3125,-114147328,F9324000,,502,-97648640
3127,-112836608,F9464000,,503,-98975744
3129,-111427584,F95BC000,,504,-100253696
3131,-110051328,F970C000,,505,-101498880
3133,-108576768,F9874000,,506,-102858752
3135,-107102208,F99DC000,,507,-104284160
3137,-105594880,F9B4C000,,508,-105922560
3139,-103874560,F9CF0000,,509,-107495424
3141,-102350848,F9E64000,,510,-108871680
3143,-100974592,F9FB4000,,511,-110460928
3145,-99631104,FA0FC000,,512,-112082944
3147,-98582528,FA1FC000,,513,-113721344
3149,-97501184,FA304000,,514,-115556352
3151,-96518144,FA3F4000,,515,-117178368
3153,-95764480,FA4AC000,,516,-118652928
3155,-94830592,FA590000,,517,-120061952
3157,-93995008,FA65C000,,518,-121274368
3159,-93290496,FA708000,,519,-122454016
3161,-92520448,FA7C4000,,520,-123453440
3163,-91947008,FA850000,,521,-124207104
3165,-91406336,FA8D4000,,522,-124878848
3167,-90996736,FA938000,,523,-125583360
3169,-90800128,FA968000,,524,-126222336
3171,-90734592,FA978000,,525,-126648320
3173,-90865664,FA958000,,526,-126976000
3175,-91193344,FA908000,,527,-127352832
3177,-91684864,FA890000,,528,-127598592
3179,-92340224,FA7F0000,,529,-127614976
3181,-93126656,FA730000,,530,-127533056
3183,-94208000,FA628000,,531,-127287296
3185,-95551488,FA4E0000,,532,-126877696
3187,-96878592,FA39C000,,533,-126173184
3189,-98238464,FA250000,,534,-125272064
3191,-99581952,FA108000,,535,-124321792
3193,-100859904,F9FD0000,,536,-123158528
3195,-102268928,F9E78000,,537,-121831424
3197,-103710720,F9D18000,,538,-120455168
3199,-105299968,F9B94000,,539,-119111680
3201,-107036672,F99EC000,,540,-117817344
3203,-108576768,F9874000,,541,-116604928
3205,-110215168,F96E4000,,542,-115507200
3207,-111902720,F9548000,,543,-114425856
3209,-113541120,F93B8000,,544,-113229824
3211,-115392512,F91F4000,,545,-112033792
3213,-123797504,F89F0000,,546,-110755840
3215,-124731392,F890C000,,547,-109379584
3217,-125501440,F8850000,,548,-108036096
3219,-126337024,F8784000,,549,-106594304
3221,-126992384,F86E4000,,550,-105070592
3223,-127401984,F8680000,,551,-103546880
3225,-127877120,F860C000,,552,-102121472
3227,-128253952,F85B0000,,553,-100843520
3229,-128499712,F8574000,,554,-99631104
3231,-128647168,F8550000,,555,-94240768
3233,-128548864,F8568000,,556,-93569024
3235,-128368640,F8594000,,557,-92848128
3237,-127959040,F85F8000,,558,-92307456
3239,-127270912,F86A0000,,559,-91783168
3241,-126435328,F876C000,,560,-91389952
3243,-125370368,F8870000,,561,-91242496
3245,-124207104,F898C000,,562,-91226112
3247,-122912768,F8AC8000,,563,-91373568
3249,-121503744,F8C20000,,564,-91602944
3251,-120176640,F8D64000,,565,-92160000
3253,-118833152,F8EAC000,,566,-92962816
3255,-117555200,F8FE4000,,567,-93716480
3257,-116375552,F9104000,,568,-94732288
3259,-115146752,F9230000,,569,-96010240
3261,-113950720,F9354000,,570,-97402880
3263,-112754688,F9478000,,571,-98762752
3265,-111411200,F95C0000,,572,-99926016
3267,-110051328,F970C000,,573,-101203968
3269,-108593152,F9870000,,574,-102580224
3271,-107069440,F99E4000,,575,-103956480
3273,-105512960,F9B60000,,576,-105545728
3275,-103874560,F9CF0000,,577,-107118592
3277,-102285312,F9E74000,,578,-108642304
3279,-100859904,F9FD0000,,579,-110215168
3281,-99647488,FA0F8000,,580,-111755264
3283,-98582528,FA1FC000,,581,-113442816
3285,-97452032,FA310000,,582,-115245056
3287,-96419840,FA40C000,,583,-116850688
3289,-95551488,FA4E0000,,584,-118341632
3291,-94715904,FA5AC000,,585,-119816192
3293,-94027776,FA654000,,586,-121094144
3295,-93323264,FA700000,,587,-122159104
3297,-92536832,FA7C0000,,588,-123142144
3299,-91947008,FA850000,,589,-124010496
3301,-91439104,FA8CC000,,590,-124698624
3303,-91029504,FA930000,,591,-125419520
3305,-90832896,FA960000,,592,-126025728
3307,-90783744,FA96C000,,593,-126435328
3309,-90816512,FA964000,,594,-126795776
3311,-91078656,FA924000,,595,-127107072
3313,-91586560,FA8A8000,,596,-127352832
3315,-92340224,FA7F0000,,597,-127434752
3317,-93208576,FA71C000,,598,-127336448
3319,-94257152,FA61C000,,599,-127107072
3321,-95567872,FA4DC000,,600,-126631936
3323,-96894976,FA398000,,601,-125878272
3325,-105365504,F9B84000,,602,-124977152
3327,-106987520,F99F8000,,603,-124026880
3329,-108576768,F9874000,,604,-122863616
3331,-110149632,F96F4000,,605,-121618432
3333,-111804416,F9560000,,606,-120258560
3335,-113590272,F93AC000,,607,-118833152
3337,-115408896,F91F0000,,608,-117538816
3339,-117145600,F9048000,,609,-116359168
3341,-118702080,F8ECC000,,610,-115245056
3343,-120209408,F8D5C000,,611,-107872256
3345,-121700352,F8BF0000,,612,-106446848
3347,-122880000,F8AD0000,,613,-104841216
3349,-123928576,F89D0000,,614,-103333888
3351,-124846080,F88F0000,,615,-101957632
3353,-125566976,F8840000,,616,-100581376
3355,-126402560,F8774000,,617,-99401728
3357,-127074304,F86D0000,,618,-98451456
3359,-127565824,F8658000,,619,-97435648
3361,-127991808,F85F0000,,620,-96534528
3363,-128335872,F859C000,,621,-95764480
3365,-128663552,F854C000,,622,-95027200
3367,-128778240,F8530000,,623,-94322688
3369,-128712704,F8540000,,624,-93536256
3371,-128565248,F8564000,,625,-92946432
3373,-128122880,F85D0000,,626,-92438528
3375,-127434752,F8678000,,627,-91914240
3377,-126550016,F8750000,,628,-91586560
3379,-125501440,F8850000,,629,-91324416
3381,-124420096,F8958000,,630,-91291648
3383,-123109376,F8A98000,,631,-91504640
3385,-121651200,F8BFC000,,632,-91734016
3387,-120307712,F8D44000,,633,-92192768
3389,-118947840,F8E90000,,634,-92930048
3391,-117669888,F8FC8000,,635,-93765632
