Index,Data,Frequency,Real,Imaginary,Abs
305,-1311,9760,57.0685,-255.573,261.867
306,-1276,9792,-147.825,-203.842,251.801
307,-1250,9824,-289.816,-6.01221,289.879
308,-1240,9856,-130.745,452.761,471.26
309,-1250,9888,42.5833,257.971,261.462
310,-1269,9920,194.659,125.323,231.513
311,-1278,9952,220.143,-93.1777,239.05
312,-1268,9984,55.501,-229.589,236.202
313,-1250,10016,-128.747,-183.314,224.009
314,-1254,10048,-252.399,-17.9056,253.033
315,-1291,10080,-164.501,177.205,241.79
316,-1349,10112,47.8193,235.919,240.716
317,-1405,10144,198.771,125.816,235.244
318,-1440,10176,222.133,-86.1119,238.24
319,-1443,10208,89.3056,-240.087,256.159
320,-1429,10240,-156.277,-180.899,239.054
321,-1425,10272,-235.491,-0.932617,235.492
322,-1444,10304,-166.138,177.129,242.851
323,-1483,10336,35.5812,228.179,230.937
324,-1529,10368,198.582,134.148,239.647
325,-1565,10400,211.256,-94.7194,231.518
326,-1587,10432,74.7573,-235.065,246.666
327,-1601,10464,-133.921,-189.107,231.724
328,-1625,10496,-246.269,-3.71716,246.298
329,-1656,10528,-157.027,174.568,234.801
330,-1687,10560,37.6705,230.405,233.464
331,-1715,10592,208.675,126.547,244.048
332,-1727,10624,225.465,-94.8213,244.593
333,-1714,10656,67.2108,-228.472,238.153
334,-1686,10688,-124.475,-179.904,218.768
335,-1666,10720,-230.291,-4.13367,230.328
336,-1665,10752,-159.976,167.005,231.264
337,-1680,10784,34.2781,212.148,214.899
338,-1692,10816,192.799,122.282,228.308
339,-1677,10848,193.195,-70.3983,205.621
340,-1637,10880,78.3164,-237.107,249.706
341,-1588,10912,-118.038,-173.077,209.496
342,-1549,10944,-233.743,-27.7582,235.386
343,-1533,10976,-146.885,154.154,212.929
344,-1533,11008,21.7794,242.99,243.964
345,-1534,11040,212.759,130.55,249.619
346,-1516,11072,233.737,-95.3296,252.43
347,-1477,11104,78.4517,-202.435,217.105
348,-1434,11136,-129.87,-209.283,246.304
349,-1400,11168,-281.591,-120.32,306.22
350,-1381,11200,-123.602,176.052,215.108
351,-1374,11232,26.6033,236.055,237.549
