,3E638000, -108134400
 3911, -1100709888,BE648000, -107872256
 3913, 1044316160,3E3F0000, -117702656
 3915, -29016064,FE454000, -116064256
 3917, -26394624,FE6D4000, -105578496
 3919, 2122399744,7E814000, -100335616
 3921, -1100660736,BE654000, -107675648
 3923, 2118107136,7E3FC000, -117506048
 3925, -1102757888,BE454000, -116064256
 3927, 2121089024,7E6D4000, -105578496
 3929, -25051136,FE81C000, -100204544
 3931, 1046904832,3E668000, -107347968
 3933, 2118139904,7E404000, -117374976
 3935, -29048832,FE44C000, -116195328
 3937, 2121039872,7E6C8000, -105775104
 3939, 2122416128,7E818000, -100270080
 3941, -26853376,FE664000, -107413504
 3943, -29360128,FE400000, -117440512
 3945, 2118434816,7E44C000, -116195328
 3947, -26443776,FE6C8000, -105775104
 3949, -25051136,FE81C000, -100204544
 3951, -1100562432,BE66C000, -107282432
 3953, 1044398080,3E404000, -117374976
 3955, -1102823424,BE444000, -116326400
 3957, 1047281664,3E6C4000, -105840640
 3959, 2122481664,7E828000, -100007936
 3961, 2120761344,7E684000, -106889216
 3963, -29294592,FE410000, -117178368
 3965, -1102823424,BE444000, -116326400
 3967, -26509312,FE6B8000, -106037248
 3969, 1048707072,3E820000, -100139008
 3971, 1047019520,3E684000, -106889216
 3973, -1103020032,BE414000, -117112832
 3975, 2118385664,7E440000, -116391936
 3977, -1100267520,BE6B4000, -106102784
 3979, 2122481664,7E828000, -100007936
 3981, 2120810496,7E690000, -106692608
 3983, -29278208,FE414000, -117112832
 3985, -29163520,FE430000, -116654080
 3987, 1047183360,3E6AC000, -106233856
 3989, -1098694656,BE834000, -99811328
 3991, 2120957952,7E6B4000, -106102784
 3993, -29147136,FE434000, -116588544
 3995, 1044660224,3E444000, -116326400
 3997, 1047199744,3E6B0000, -106168320
 3999, 2122514432,7E830000, -99876864
 4001, 1047183360,3E6AC000, -106233856
 4003, 1044561920,3E42C000, -116719616
 4005, -1102905344,BE430000, -116654080
 4007, 1047117824,3E69C000, -106496000
 4009, 2122465280,7E824000, -100073472
 4011, -1100300288,BE6AC000, -106233856
 4013, -29179904,FE42C000, -116719616
 4015, -1102954496,BE424000, -116850688
 4017, 1047052288,3E68C000, -106758144
 4019, 2122448896,7E820000, -100139008
 4021, 2120925184,7E6AC000, -106233856
 4023, -29212672,FE424000, -116850688
 4025, -1103020032,BE414000, -117112832
 4027, 2120712192,7E678000, -107085824
 4029, 2122448896,7E820000, -100139008
 4031, -1100234752,BE6BC000, -105971712
 4033, 1044578304,3E430000, -116654080
 4035, 2118189056,7E410000, -117178368
 4037, -1100562432,BE66C000, -107282432
 4039, -25083904,FE814000, -100335616
 4041, 1047248896,3E6BC000, -105971712
 4043, 1044594688,3E434000, -116588544
 4045, 1044430848,3E40C000, -117243904
 4047, -26869760,FE660000, -107479040
 4049, 2122366976,7E80C000, -100466688
 4051, -26509312,FE6B8000, -106037248
 4053, -1102938112,BE428000, -116785152
 4055, -29425664,FE3F0000, -117702656
 4057, -26968064,FE648000, -107872256
 4059, -25165824,FE800000, -100663296
 4061, -26476544,FE6C0000, -105906176
 4063, 1044594688,3E434000, -116588544
 4065, -1103183872,BE3EC000, -117768192
 4067, 2120450048,7E638000, -108134400
 4069, -1098956800,BE7F4000, -100859904
 4071, 1047265280,3E6C0000, -105906176
 4073, -29130752,FE438000, -116523008
 4075, -1103151104,BE3F4000, -117637120
 4077, -1100759040,BE63C000, -108068864
 4079, 2122317824,7E800000, -100663296
 4081, 2121072640,7E6D0000, -105644032
 4083, 2118402048,7E444000, -116326400
 4085, -1103167488,BE3F0000, -117702656
 4087, 2120450048,7E638000, -108134400
 4089, 2122366976,7E80C000, -100466688
 4091, 2121154560,7E6E4000, -105316352
 4093, -1102790656,BE44C000, -116195328
 4095, 2118041600,7E3EC000, -117768192
 4097, -27082752,FE62C000, -108331008
 4099, -1098907648,BE800000, -100663296
 4101, 2121154560,7E6E4000, -105316352
 4103, 1044725760,3E454000, -116064256
